online_order,book_table,rate,votes,location,rest_type,cuisines,cost,menu_item
1,1,4.1,775,1,20,1386,800.0,5047
1,0,4.1,787,1,20,594,800.0,5047
1,0,3.8,918,1,16,484,800.0,5047
0,0,3.7,88,1,62,1587,300.0,5047
0,0,3.8,166,4,20,1406,600.0,5047
1,0,3.8,286,4,20,1156,600.0,5047
1,1,4.6,2556,1,22,1468,600.0,5047
1,0,4.0,324,1,13,462,700.0,5047
1,0,4.2,504,1,13,485,550.0,5047
1,0,4.1,402,1,13,332,500.0,5047
1,1,4.2,150,1,13,462,600.0,5047
1,1,4.2,164,1,13,380,500.0,5047
0,0,4.0,424,1,13,383,450.0,5047
1,0,3.8,918,1,16,484,800.0,5047
1,0,3.8,90,1,13,332,650.0,5047
1,0,3.9,133,1,13,441,800.0,5047
1,0,3.8,144,1,13,533,700.0,5047
0,0,3.9,93,1,13,456,300.0,5047
1,0,3.0,62,1,13,444,400.0,5047
1,0,3.7,180,1,13,496,500.0,5047
1,0,3.6,62,1,65,985,600.0,5047
0,0,3.8,148,4,22,1194,550.0,5047
1,0,4.0,219,4,13,455,600.0,5047
1,0,2.8,506,1,62,1332,500.0,5047
1,0,3.9,172,1,29,1465,750.0,5047
1,0,4.2,415,1,62,1190,500.0,1672
1,0,3.9,230,1,29,235,650.0,5047
1,0,4.2,1647,1,20,609,600.0,5047
1,0,4.4,4884,30,20,1402,750.0,5047
1,0,3.8,133,4,62,1636,200.0,5047
1,0,3.9,286,1,62,322,500.0,5047
1,0,3.9,540,1,62,1474,800.0,5047
1,1,4.6,2556,1,22,1468,600.0,5047
0,0,3.8,36,1,29,1314,400.0,5047
1,0,3.6,244,46,62,1196,300.0,165
1,0,4.0,804,46,20,1218,450.0,4709
1,0,3.7,679,63,20,604,850.0,5047
1,0,3.1,245,46,62,1257,300.0,4683
0,0,4.3,345,1,30,956,400.0,5047
1,0,4.0,618,30,20,288,750.0,5047
0,0,4.0,1047,1,62,980,450.0,5047
1,0,3.9,627,1,29,923,450.0,14
1,1,4.2,354,1,20,151,800.0,5047
0,0,4.2,244,1,20,1000,800.0,5047
1,1,3.6,163,46,20,915,800.0,5047
0,1,4.0,808,1,20,1196,850.0,5047
1,0,4.1,1720,4,62,1355,400.0,5047
0,0,4.1,868,1,57,704,1200.0,5047
0,0,4.1,520,1,62,248,300.0,5047
0,0,3.6,299,1,62,868,300.0,5047
1,0,4.1,558,4,62,1547,150.0,537
0,0,3.8,39,1,62,1563,350.0,5047
1,0,4.2,146,1,9,215,400.0,5047
1,0,4.4,4401,30,20,286,600.0,5047
0,0,2.6,283,1,20,1156,600.0,5047
0,0,3.3,62,1,4,1589,800.0,5047
0,0,3.7,65,1,62,873,300.0,5047
1,0,3.8,71,4,30,959,400.0,5047
0,0,3.5,52,1,62,1547,300.0,5047
0,0,3.7,130,1,62,1547,200.0,5047
0,0,3.8,45,1,72,175,400.0,5047
1,0,4.1,201,1,62,1597,300.0,3461
1,0,4.0,771,1,20,1589,450.0,4550
0,0,3.0,98,1,4,1196,800.0,5047
1,1,4.1,175,30,20,1591,500.0,2674
1,0,3.8,540,4,20,1353,650.0,5047
1,0,3.8,124,46,62,584,400.0,5047
1,0,4.1,340,1,72,1392,500.0,5047
1,0,3.8,505,1,62,322,450.0,5047
1,0,4.1,438,30,30,791,500.0,5047
1,0,3.7,264,54,20,1212,750.0,5047
1,0,3.7,97,30,62,1386,350.0,5047
1,0,3.6,195,30,20,597,800.0,5047
1,0,4.6,228,30,13,359,400.0,5047
1,1,4.1,364,30,20,1665,1200.0,5047
1,0,3.7,107,4,9,221,150.0,5047
1,0,3.2,167,46,62,1594,300.0,4178
1,0,4.2,64,4,62,1510,500.0,5047
1,0,3.0,290,1,62,1215,450.0,5047
1,0,4.1,233,4,62,1628,200.0,5047
1,0,3.8,115,46,62,863,250.0,5047
1,1,3.9,291,30,13,368,650.0,2748
1,0,4.5,155,30,9,228,300.0,5047
1,0,4.1,305,46,20,965,700.0,5047
1,0,3.9,38,1,30,949,150.0,5047
1,0,3.9,441,1,62,1592,400.0,5047
1,0,4.3,630,30,62,1454,200.0,5047
1,0,3.9,160,46,62,84,300.0,5047
1,0,4.2,287,1,62,1156,350.0,5047
1,0,4.1,402,1,13,332,500.0,5047
1,0,3.8,469,4,20,1208,750.0,5047
1,0,3.3,511,46,20,166,550.0,5047
1,0,3.9,264,1,62,1547,200.0,5047
1,0,3.0,62,1,13,444,400.0,5047
1,0,3.8,693,1,20,1474,750.0,5047
1,0,3.8,242,30,20,1089,650.0,5047
1,0,4.1,163,4,62,684,500.0,5047
1,0,4.2,191,4,62,1636,250.0,3959
1,0,3.5,32,1,62,1486,150.0,5047
1,0,2.5,247,1,20,1156,500.0,5047
1,1,4.1,2339,30,20,1206,1500.0,5047
1,0,4.1,337,30,62,547,300.0,5047
1,0,3.9,135,1,20,1222,800.0,5047
1,0,3.6,172,79,20,1196,700.0,5047
1,0,3.6,105,1,20,1678,700.0,5047
1,0,4.2,504,1,13,485,550.0,5047
1,1,4.3,1129,30,20,1009,1300.0,5047
1,0,4.3,860,1,30,789,500.0,5047
1,0,3.8,412,30,20,77,700.0,5047
1,1,3.9,142,30,20,1093,1000.0,5047
1,0,3.6,143,30,20,1554,750.0,5047
1,0,4.4,181,30,9,231,250.0,5047
1,0,3.8,70,30,62,1451,200.0,5047
1,0,3.8,164,4,62,1476,600.0,5047
1,0,3.6,58,46,62,366,650.0,5047
0,0,3.8,148,4,22,1194,550.0,5047
0,0,3.9,206,4,62,1585,450.0,5047
0,0,3.7,217,4,20,1281,450.0,5047
0,0,3.8,148,4,62,873,150.0,5047
1,0,2.9,177,30,20,1211,700.0,5047
1,0,3.7,136,1,62,1507,600.0,5047
1,0,4.1,185,30,62,1022,200.0,5047
1,0,3.8,155,54,20,1597,400.0,5047
1,0,3.8,42,1,62,1589,300.0,2891
1,0,3.8,286,4,20,1156,600.0,5047
1,0,3.8,160,1,20,1196,700.0,5047
1,0,3.8,59,1,20,1196,750.0,5047
1,0,4.0,89,30,62,1551,200.0,5047
1,0,3.9,40,4,20,1280,600.0,5047
1,0,2.5,35,4,62,817,200.0,5047
1,0,3.6,62,1,65,985,600.0,5047
1,0,4.1,139,30,20,1277,550.0,5047
1,0,3.7,237,1,62,1571,200.0,3163
1,0,3.9,388,1,20,299,650.0,5047
1,0,3.9,128,46,20,1568,500.0,103
1,1,4.1,1875,30,20,1159,1200.0,5047
1,0,3.8,90,1,13,332,650.0,5047
1,0,4.2,179,1,29,1465,600.0,5047
1,0,4.3,275,4,62,1547,100.0,2701
1,0,3.7,323,30,20,609,850.0,5047
1,0,4.3,322,30,20,1547,400.0,5047
1,0,2.6,157,30,13,346,450.0,5047
1,0,3.9,543,4,62,1571,300.0,2710
1,0,3.7,180,1,13,496,500.0,5047
1,0,4.2,444,4,62,1547,100.0,3895
1,0,3.9,134,30,62,1647,400.0,4179
1,0,3.8,577,30,20,1421,900.0,5047
1,0,3.9,144,30,20,1268,550.0,5047
1,0,4.1,787,1,20,594,800.0,5047
1,0,3.6,84,1,62,1589,250.0,110
1,1,4.0,349,1,20,1519,1200.0,5047
1,0,3.7,248,46,62,1327,400.0,5047
1,0,4.1,216,4,13,391,500.0,5047
1,0,4.0,324,1,13,462,700.0,5047
1,0,2.6,231,46,62,1270,400.0,4439
1,0,3.4,102,79,20,1591,400.0,743
1,0,3.9,133,1,13,441,800.0,5047
1,0,2.8,45,1,20,1483,800.0,5047
1,0,3.8,75,1,62,836,200.0,5047
1,0,4.0,53,63,29,1113,600.0,5047
1,1,4.2,815,30,20,1196,900.0,5047
1,1,4.0,633,1,20,1196,800.0,5047
1,0,3.5,56,30,30,958,400.0,5047
1,0,3.9,70,1,30,846,400.0,5047
1,0,3.9,91,30,13,439,300.0,5047
1,0,3.8,77,46,13,401,650.0,5047
1,0,3.8,210,46,20,1235,600.0,5047
1,0,4.1,130,30,13,473,650.0,5047
1,0,4.1,30,30,9,231,100.0,5047
1,0,3.8,144,1,13,533,700.0,5047
1,0,3.7,133,30,20,607,700.0,5047
1,0,4.0,136,30,62,1571,350.0,1680
1,0,3.8,74,4,62,1589,300.0,5047
1,0,3.7,54,4,13,359,600.0,5047
1,0,3.4,58,4,13,436,400.0,5047
1,0,3.6,129,1,20,1091,600.0,5047
1,0,3.5,41,75,44,1475,400.0,5047
1,0,4.1,176,4,20,68,800.0,5047
1,0,3.7,47,30,66,844,400.0,5047
1,1,3.7,36,30,20,586,650.0,5047
1,0,3.9,101,4,62,1547,150.0,5047
1,1,4.1,442,30,60,692,1200.0,5047
1,0,3.8,53,30,62,953,250.0,5047
1,0,4.0,232,30,62,1561,400.0,5047
1,0,3.9,221,30,20,521,700.0,5047
1,1,4.1,1063,30,21,987,1200.0,5047
1,0,3.7,93,4,62,1628,200.0,5047
1,0,3.9,233,30,20,1007,800.0,5047
1,0,3.9,211,30,20,840,500.0,5047
1,0,4.0,1778,30,62,1444,200.0,43
1,0,3.6,218,82,20,1277,800.0,5047
1,0,3.7,514,4,13,458,600.0,5047
1,1,4.0,866,30,20,1296,900.0,5047
1,0,3.2,96,46,62,1156,400.0,5047
1,0,3.5,80,1,62,1670,250.0,5047
1,0,4.0,73,4,0,194,300.0,3025
1,0,3.9,84,30,69,1121,400.0,5047
1,0,3.5,88,1,62,1592,350.0,5047
1,0,3.5,179,1,20,1208,600.0,5047
1,0,3.8,61,4,62,1021,100.0,5047
1,0,3.7,128,79,20,1220,450.0,5047
1,0,3.8,339,30,62,1589,400.0,740
1,0,4.1,449,4,62,1628,100.0,5047
1,0,4.1,210,30,32,210,150.0,5047
1,0,3.0,213,1,62,1428,400.0,5047
1,0,3.2,208,30,12,1652,250.0,4095
1,0,3.8,70,1,62,1547,100.0,131
1,0,4.0,219,4,13,455,600.0,5047
1,0,3.7,59,1,62,1451,200.0,5047
1,0,3.7,124,46,20,292,750.0,5047
1,1,4.1,775,1,20,1386,800.0,5047
1,1,4.2,2022,30,20,1416,1000.0,5047
1,1,4.2,150,1,13,462,600.0,1390
1,0,4.0,232,4,20,1196,750.0,5047
1,1,3.5,431,30,20,1156,800.0,5047
1,1,4.2,2115,1,20,1481,800.0,5047
1,0,4.2,150,30,20,1156,800.0,1664
1,0,3.8,155,30,20,1597,450.0,5047
1,1,4.1,666,30,21,50,1000.0,5047
1,0,3.9,240,4,13,332,700.0,5047
1,0,3.8,918,1,16,484,800.0,5047
1,0,4.0,465,30,20,1597,600.0,2731
1,1,4.1,970,30,54,1313,1500.0,5047
1,0,3.3,128,1,62,1196,300.0,5047
1,0,3.6,241,46,62,1196,300.0,5047
1,0,4.3,734,1,62,1597,200.0,3169
1,0,3.8,130,30,62,1181,400.0,5047
1,0,4.2,261,30,13,389,700.0,5047
1,0,4.0,191,46,62,1598,300.0,130
1,0,4.1,364,4,20,1566,550.0,133
1,0,3.9,888,1,20,1434,750.0,2724
1,0,3.9,750,4,20,1277,500.0,3359
1,1,4.2,164,1,13,380,500.0,5047
1,0,3.8,527,4,20,1156,500.0,5047
0,0,4.3,345,1,30,956,400.0,5047
0,0,4.4,356,1,69,1116,150.0,5047
1,0,3.9,38,1,30,949,150.0,1817
1,0,3.9,116,1,30,959,400.0,2645
1,0,3.8,918,1,16,484,800.0,5047
1,0,3.8,144,1,13,533,700.0,5047
1,0,4.3,860,1,30,789,500.0,5047
0,0,3.8,45,1,72,175,400.0,5047
1,0,3.9,70,1,30,846,400.0,5047
0,0,4.0,98,4,70,1123,400.0,5047
1,0,4.0,219,4,13,455,600.0,4811
1,0,4.0,73,4,0,194,300.0,3025
1,0,2.7,97,4,20,1597,400.0,5047
1,0,3.9,888,1,20,1434,750.0,2723
1,1,4.0,349,1,20,1519,1200.0,1161
1,0,4.2,287,1,62,1156,350.0,5047
1,1,4.6,2556,1,22,1468,600.0,5047
1,1,4.2,354,1,20,151,800.0,631
1,1,4.1,775,1,20,1386,800.0,5047
1,1,4.2,2115,1,20,1481,800.0,5047
0,1,3.8,977,1,46,878,1300.0,5047
0,0,4.1,868,1,57,704,1200.0,5047
1,0,4.0,324,1,13,462,700.0,4464
1,0,4.1,787,1,20,594,800.0,5047
1,0,4.2,504,1,13,485,550.0,921
1,0,4.1,402,1,13,332,500.0,3421
1,1,4.2,150,1,13,462,600.0,1391
1,1,4.2,164,1,13,380,500.0,2020
0,0,4.2,244,1,20,1000,800.0,5047
1,0,4.0,771,1,20,1589,450.0,4549
1,0,4.2,1647,1,20,609,600.0,5047
0,1,4.0,808,1,20,1196,850.0,5047
0,0,4.0,424,1,13,383,450.0,5047
1,0,3.9,135,1,20,1222,800.0,3649
1,0,3.8,918,1,16,484,800.0,5047
1,0,3.8,90,1,13,332,650.0,5047
1,0,3.9,519,1,20,561,900.0,5047
1,0,3.6,105,1,20,1678,700.0,5047
1,0,3.9,133,1,13,441,800.0,1303
1,0,3.8,144,1,13,533,700.0,5047
0,0,3.9,93,1,13,456,300.0,5047
1,0,3.8,42,1,62,1589,300.0,2891
1,0,2.5,247,1,20,1156,500.0,2854
1,0,3.0,62,1,13,444,400.0,2412
1,0,3.8,160,1,20,1196,700.0,4051
1,0,3.6,129,1,20,1091,600.0,1332
0,0,3.3,62,1,4,1589,800.0,5047
0,0,2.6,283,1,20,1156,600.0,5047
1,0,3.8,59,1,20,1196,750.0,5047
1,0,3.5,179,1,20,1208,600.0,3594
0,0,3.8,62,1,62,1561,150.0,5047
0,0,3.0,98,1,4,1196,800.0,5047
0,0,2.7,128,1,20,604,850.0,5047
1,0,2.8,45,1,20,1483,800.0,2158
1,0,3.5,41,75,44,1475,400.0,5047
1,0,3.7,405,1,20,1474,750.0,4226
1,0,3.9,388,1,20,299,650.0,959
0,0,4.7,651,1,62,1547,100.0,5047
1,0,4.3,734,1,62,1597,200.0,4698
0,0,4.0,1047,1,62,980,450.0,5047
1,0,3.8,505,1,62,322,450.0,669
1,0,3.9,264,1,62,1547,200.0,3221
1,0,3.9,286,1,62,322,500.0,3384
0,0,4.4,343,1,62,1547,100.0,5047
0,0,3.8,70,1,62,821,500.0,5047
1,0,3.8,70,1,62,1547,100.0,132
1,0,3.7,237,1,62,1571,200.0,2040
1,0,4.1,201,1,62,1597,300.0,1913
1,0,2.8,506,1,62,1332,500.0,5047
0,0,4.1,520,1,62,248,300.0,5047
0,0,3.7,88,1,62,1587,300.0,5047
1,0,3.7,136,1,62,1507,600.0,865
0,0,3.9,88,1,62,1547,250.0,5047
0,0,3.8,189,1,62,1547,300.0,5047
0,0,3.8,39,1,62,1563,350.0,5047
1,0,3.9,540,1,62,1474,800.0,3122
0,0,3.6,71,1,62,1416,250.0,5047
1,0,3.5,88,1,62,1592,350.0,1037
1,0,3.0,87,1,62,1476,600.0,3490
1,0,4.2,415,1,62,1190,500.0,1023
1,0,3.3,128,1,62,1196,300.0,1864
0,0,4.1,94,1,62,1547,100.0,5047
0,0,3.7,65,1,62,873,300.0,5047
0,0,3.5,52,1,62,1547,300.0,5047
1,0,3.0,290,1,62,1215,450.0,65
1,0,3.7,59,1,62,1451,200.0,5047
0,0,3.7,130,1,62,1547,200.0,5047
1,0,3.5,80,1,62,1670,250.0,4264
1,0,3.9,441,1,62,1592,400.0,2010
1,0,3.6,84,1,62,1589,250.0,744
0,0,4.0,42,1,62,1615,300.0,5047
1,0,3.0,213,1,62,1428,400.0,4368
0,0,4.2,725,30,62,1552,350.0,5047
1,0,3.9,750,4,20,1277,500.0,3317
0,0,3.8,166,4,20,1406,600.0,5047
0,0,4.4,4460,4,62,1547,150.0,5047
0,0,3.9,153,4,20,1547,350.0,5047
1,0,3.8,469,4,20,1208,750.0,1784
1,0,4.1,364,4,20,1566,550.0,4743
1,0,3.8,286,4,20,1156,600.0,3567
1,0,3.8,527,4,20,1156,500.0,417
1,0,3.9,101,4,62,1547,150.0,3893
1,0,4.1,558,4,62,1547,150.0,5047
0,0,3.8,148,4,22,1194,550.0,5047
0,0,2.7,377,4,57,1292,1100.0,5047
0,0,3.9,206,4,62,1585,450.0,5047
0,0,3.9,100,4,62,1589,300.0,5047
1,0,4.2,444,4,62,1547,100.0,3896
0,0,3.9,133,4,20,979,650.0,5047
1,0,4.0,219,4,13,455,600.0,4811
0,0,4.2,253,4,62,1547,250.0,5047
0,0,3.7,61,4,20,310,600.0,5047
1,0,3.8,155,54,20,1575,400.0,4183
1,0,3.9,233,30,20,1007,800.0,884
1,0,3.7,264,54,20,1212,750.0,3538
0,0,4.1,238,4,62,1547,600.0,5047
1,0,4.1,176,4,20,68,800.0,3310
1,0,3.7,93,4,62,1628,200.0,1735
0,0,3.8,124,4,62,1574,300.0,5047
1,0,4.3,275,4,62,1547,100.0,5047
0,0,4.2,254,4,62,1547,150.0,5047
0,0,4.1,177,4,62,1547,100.0,5047
1,0,4.0,132,4,62,817,200.0,5047
1,0,3.8,74,4,62,1589,300.0,4411
1,0,3.6,172,79,20,1196,700.0,5047
1,0,3.9,543,4,62,1571,300.0,5047
0,0,4.0,52,4,62,1547,300.0,5047
0,0,3.7,217,4,20,1281,450.0,5047
0,0,3.9,111,4,20,1258,700.0,5047
1,0,3.8,133,4,62,1636,200.0,4542
0,0,3.8,39,30,62,1587,250.0,5047
0,0,4.0,64,4,62,1547,200.0,5047
0,0,3.8,148,4,62,873,150.0,5047
0,0,3.8,55,75,44,595,300.0,5047
0,1,3.8,977,1,46,878,1300.0,5047
0,0,4.1,868,1,57,704,1200.0,5047
0,0,3.3,62,1,4,1589,800.0,5047
0,0,3.0,98,1,4,1196,800.0,5047
0,0,2.7,377,4,57,1292,1100.0,5047
1,1,4.4,2487,3,57,1343,900.0,5047
1,1,4.2,1964,3,20,87,1000.0,462
1,0,4.3,3178,3,20,1402,750.0,2897
